442.51,5310.06,1.56,2.26,8.65,2.86,59956.89,26554.0000,0.00,59.9569,0.00
1040.72,12488.66,1.58,1.92,5.02,2.26,119907.64,31226.0000,76.00,59.9538,0.00
1509.64,18115.65,1.70,2.65,32.02,3.25,239850.12,22647.7500,499.07,59.9625,0.00
211.62,3385.90,2.44,4.72,25.02,6.67,59968.01,12699.0000,0.00,59.9680,0.00
486.22,7779.45,2.35,4.11,28.09,6.55,119938.78,14588.5000,846.50,59.9694,0.00
807.69,12922.98,2.33,4.95,31.52,11.04,239901.31,12117.0000,259.31,59.9753,0.00
495.51,2973.07,0.89,2.02,17.25,3.07,59937.00,29735.0000,0.00,59.9370,0.00
1129.88,6779.26,0.84,1.77,17.80,2.97,119863.62,33901.0000,958.00,59.9318,0.00
1750.14,10500.82,0.87,2.28,25.08,5.09,239796.16,26255.7500,482.75,59.9490,0.00

