419.67,5036.08,1.83,2.38,13.67,2.76,59965.25,25184.0000,0.00,59.9652,0.00
625.18,7502.13,1.65,3.20,11.91,5.28,119940.61,18758.0000,1178.00,59.9703,0.00
896.70,10760.42,2.05,4.46,43.87,11.04,239910.38,13452.5000,840.69,59.9776,0.00
292.06,4672.90,2.33,3.42,22.09,5.09,59969.41,17526.0000,0.00,59.9694,0.00
393.61,6297.74,2.62,5.08,22.41,8.28,119949.33,11810.0000,67.00,59.9747,0.00
493.34,7893.48,2.82,8.10,76.13,17.32,239938.28,7401.2500,159.56,59.9846,0.00
594.58,3567.49,0.94,1.68,19.00,2.81,59926.93,35680.0000,0.00,59.9269,0.00
862.90,5177.39,0.93,2.31,17.02,3.96,119853.27,25891.0000,186.00,59.9266,0.02
932.28,5593.68,0.92,4.29,33.54,9.22,239867.12,13986.2500,284.72,59.9668,0.00

