416.43,4997.11,2.15,2.40,23.49,2.57,59964.48,24989.0000,0.00,59.9645,0.00
418.54,5022.46,2.13,4.78,28.28,10.09,119953.90,12558.0000,10.00,59.9769,0.00
411.44,4937.33,2.19,9.72,32.37,18.28,239968.82,6172.7500,18.61,59.9922,0.00
218.50,3496.02,3.55,4.57,25.08,6.67,59973.95,13112.0000,0.00,59.9739,0.00
237.12,3793.86,3.40,8.43,27.65,13.46,119967.72,7114.5000,1.50,59.9839,0.00
231.47,3703.46,3.89,17.28,44.46,25.28,240001.34,3473.0000,2.74,60.0003,0.00
442.53,2655.21,1.41,2.26,14.47,3.89,59948.80,26556.0000,0.00,59.9488,0.00
496.48,2978.86,1.25,4.03,17.01,7.56,119932.57,14896.5000,15.50,59.9663,0.00

413.67,2482.00,1.38,9.67,45.98,15.55,239936.12,6206.0000,14.54,59.9840,0.00

