10.6,2.6,1.8,24.7,37.7,4187.000
-nan,-nan,-nan,-nan,-nan,0.000
14.4,3.4,1.8,30.9,51.8,12469.000
26.8,6.5,3.0,52.4,98.0,13476.000
83.4,23.1,8.6,151.8,311.9,8530.000
156.6,59.3,15.0,277.8,598.3,8588.000
247.4,201.2,21.2,413.0,868.9,8978.000

