411.31,4935.68,2.17,2.43,19.82,2.61,59959.74,24682.0000,0.00,59.9597,0.00
409.50,4914.03,2.21,4.88,25.03,9.73,119956.20,12287.0000,40.00,59.9781,0.00
402.89,4834.66,2.21,9.93,39.24,18.95,239973.75,6044.5000,8.67,59.9934,0.00
210.40,3366.44,3.52,4.75,35.89,8.13,59976.17,12626.0000,0.00,59.9762,0.00
224.10,3585.58,3.48,8.92,28.27,13.95,119968.47,6724.0000,4.00,59.9842,0.00
221.59,3545.46,4.07,18.04,71.81,25.74,240002.24,3325.2500,6.18,60.0006,0.01
427.79,2566.72,1.43,2.34,31.89,4.57,59949.88,25671.0000,0.00,59.9499,0.00
492.46,2954.79,1.22,4.06,24.00,7.56,119926.81,14776.0000,239.00,59.9634,0.00
457.31,2743.88,1.32,8.74,47.28,14.46,239944.53,6860.7500,11.69,59.9861,0.00

