12.8,3.7,2.2,34.5,39.3,27225.000
23.0,7.2,3.7,57.2,62.0,30772.000
42.1,17.0,6.3,114.2,104.9,31997.000
77.4,55.1,10.3,356.2,133.0,28634.000
92.0,89.9,11.9,667.7,133.8,28250.000

